title,description,priority,status
"[A0] SPIKE: Privy + Convex JWT compatibility","Verificar que ctx.auth.getUserIdentity() retorna tokenIdentifier válido con Privy. Instalar @privy-io/react-auth, configurar auth.config.ts con domain privy.io, crear query de prueba, login con MetaMask, verificar formato tokenIdentifier = 'privy.io|did:privy:...'. BLOQUEANTE para todo lo demás.",Urgent,In Progress
"[A1] Migrar auth: remover @convex-dev/auth, instalar Privy completo","Remover @convex-dev/auth y authTables del schema. Actualizar auth.config.ts con PRIVY_APP_ID real. Reemplazar ConvexAuthProvider por ConvexProviderWithAuth + usePrivyConvexAuth hook en main.tsx. Verificar que RBAC server-side funciona end-to-end.",Urgent,Todo
"[A2] Schema Convex completo - 21 tablas","Definir todas las 21 tablas en convex/schema.ts: profiles, patients, doctors, doctorAvailability, doctorSchedules, consultations, treatments, medications, conversations, messages, hermesState, medicalAlerts, paymentInvoices, payments, consents, auditLogs, notifications, waNotifications, systemSettings (discriminated union), productionReadinessChecks, walletNonces. Sin authTables.",Urgent,Todo
"[A3] Seed inicial: systemSettings + productionReadinessChecks","Crear seed que inserta systemSettings (productionEnabled=false, auditLogRetentionDays=730, patientRetentionMonths=12) y los 14 checks de productionReadinessChecks en status=pending al primer deploy.",High,Todo
"[A4] Auth wallet: requestWalletNonce + verifyWalletSignature + consumeNonceAndSaveWallet","Implementar flujo atómico de verificación de wallet. requestWalletNonce genera nonce server-side con crypto.randomUUID() (TTL 5min). verifyWalletSignature action llama viem.verifyMessage(). consumeNonceAndSaveWallet internalMutation atómica: verifica nonce, lo elimina, guarda walletAddress en profile, registra auditLog WALLET_VERIFIED.",High,Todo
"[A5] Helper RBAC server-side en todas las funciones","Crear helper getAuthorizedProfile(ctx) que llama ctx.auth.getUserIdentity(), busca profile por tokenIdentifier, verifica role. Aplicar en todas las funciones que acceden a datos clínicos. NUNCA aceptar profileId/patientId como argumento de autorización.",Urgent,Todo
"[A6] convex/audit.ts - módulo único append-only","Crear convex/audit.ts con única función internal.audit.log que solo hace ctx.db.insert('auditLogs'). Nunca patch/replace en auditLogs. Lista cerrada de 30 actions como v.union(v.literal(...)). Único módulo que puede escribir en auditLogs.",High,Todo
"[A7] Unicidad transaccional en mutations críticas","Implementar patrón .unique() + throw en mutations que requieren unicidad: profiles.tokenIdentifier, patients.profileId, doctorAvailability.doctorId, hermesState.patientId, payments.txHash, paymentInvoices.invoiceCode, paymentInvoices.derivedAddress, walletNonces.tokenIdentifier.",High,Todo
"[A8] PRG: updatePRGCheck + enableProduction + disableProduction","updatePRGCheck (admin-only): verifica role=admin, evidence obligatoria para approved, documentVersion obligatoria para 9 checks documentales, auditLog en todo cambio de estado. enableProduction: consulta 14 checks, todos deben ser approved, activa productionEnabled=true. disableProduction: reason obligatorio, productionEnabled=false.",High,Todo
"[A9] Onboarding paciente + tabla consents","Flujo de registro de paciente: crear profile + patient + 4 consents (terms, whatsapp_notifications, data_processing, ai_interaction). isFictional=true en prototipo. Validaciones runtime en mutation. auditLog PATIENT_CREATED.",High,Todo
"[A10] Dashboard médico: historial, notas, agenda","Vistas para rol doctor: lista de pacientes asignados, historial de consultas, formulario de notas (doctorNotes máx 5000 chars), agenda con doctorSchedules. RBAC: solo puede ver pacientes donde assignedDoctorId=doctorId.",Medium,Todo
"[A11] Chat web: conversations + messages con paginación","Crear y mostrar conversaciones hermes_patient y doctor_patient. messages con paginationOptsValidator, orden por sentAt descendente, página de 50 mensajes. Límite de content a 4000 chars. senderType tipado.",High,Todo
"[A12] auditLogs integrados en funciones clínicas","Llamar internal.audit.log en: lecturas de historial completo (PATIENT_RECORD_READ_FULL), creación/edición de consultas, tratamientos, medicamentos, cambios de consentimiento. No auditar lecturas rutinarias de mensajes o notificaciones.",High,Todo
"[A13] Notifications con plantillas cerradas + medicalAlerts con categorías","Notifications: type enum de 8 literales, templateParams objeto seguro, sin title/body libre. Texto resuelto server-side. medicalAlerts: alertCategory + alertCode (máx 50 chars) + triggerMessageId en lugar de description libre. getMedicalAlertDetail con RBAC estricto.",High,Todo
"[A14] Setup HD wallet xpub + cron limpieza walletNonces + cron PRG expiración","VPS: cargar HD_XPUB_TESTNET desde env var, derivar direcciones con derivationIndex. Convex crons: crons.interval limpieza walletNonces expirados cada 1h, crons mensual revisión PRG expiraciones. Ambos con .take(50) + scheduler.runAfter para lotes.",Medium,Todo
